
clubs,2,Cards/2_of_clubs.png
clubs,3,Cards/3_of_clubs.png
clubs,4,Cards/4_of_clubs.png
clubs,5,Cards/5_of_clubs.png
clubs,6,Cards/6_of_clubs.png
clubs,7,Cards/7_of_clubs.png
clubs,8,Cards/8_of_clubs.png
clubs,9,Cards/9_of_clubs.png
clubs,10,Cards/10_of_clubs.png
clubs,11,Cards/Jack_of_clubs.png
clubs,12,Cards/Queen_of_clubs.png
clubs,13,Cards/King_of_clubs.png
clubs,14,Cards/Ace_of_clubs.png

diamonds,2,Cards/2_of_diamonds.png
diamonds,3,Cards/3_of_diamonds.png
diamonds,4,Cards/4_of_diamonds.png
diamonds,5,Cards/5_of_diamonds.png
diamonds,6,Cards/6_of_diamonds.png
diamonds,7,Cards/7_of_diamonds.png
diamonds,8,Cards/8_of_diamonds.png
diamonds,9,Cards/9_of_diamonds.png
diamonds,10,Cards/10_of_diamonds.png
diamonds,11,Cards/Jack_of_diamonds.png
diamonds,12,Cards/Queen_of_diamonds.png
diamonds,13,Cards/King_of_diamonds.png
diamonds,14,Cards/Ace_of_diamonds.png

hearts,2,Cards/2_of_hearts.png
hearts,3,Cards/3_of_hearts.png
hearts,4,Cards/4_of_hearts.png
hearts,5,Cards/5_of_hearts.png
hearts,6,Cards/6_of_hearts.png
hearts,7,Cards/7_of_hearts.png
hearts,8,Cards/8_of_hearts.png
hearts,9,Cards/9_of_hearts.png
hearts,10,Cards/10_of_hearts.png
hearts,11,Cards/Jack_of_hearts.png
hearts,12,Cards/Queen_of_hearts.png
hearts,13,Cards/King_of_hearts.png
hearts,14,Cards/Ace_of_hearts.png

spades,2,Cards/2_of_spades.png
spades,3,Cards/3_of_spades.png
spades,4,Cards/4_of_spades.png
spades,5,Cards/5_of_spades.png
spades,6,Cards/6_of_spades.png
spades,7,Cards/7_of_spades.png
spades,8,Cards/8_of_spades.png
spades,9,Cards/9_of_spades.png
spades,10,Cards/10_of_spades.png
spades,11,Cards/Jack_of_spades.png
spades,12,Cards/Queen_of_spades.png
spades,13,Cards/King_of_spades.png
spades,14,Cards/Ace_of_spades.png
